Park Name,Park Category,Description,Address Line 1,Address Line 2,Address Line 3,City,State,Zip Code,Phone Number
Lassen Volcanic,National Park,"Lassen Volcanic National Park is home to steaming fumaroles, meadows freckled with wildflowers, clear mountain lakes, and numerous volcanoes. Jagged peaks tell the story of its eruptive past while hot water continues to shape the land.",PO Box 100,,,Mineral,CA,96063,530 595-4480
Lava Beds,National Monument,"Lava Beds National Monument is a land of turmoil, both geological and historical. Over the last half-million years, volcanic eruptions on the Medicine Lake shield volcano have created a rugged landscape dotted with diverse volcanic features. More than 800 caves, Native American rock art sites, historic battlefields and campsites, and a high desert wilderness experience await you!",P.O. Box 1240,,,Tulelake,CA,96134,530 667-8113
Manzanar,National Historic Site,"In 1942, the United States government ordered more than 110,000 men, women, and children to leave their homes and detained them in remote, military-style camps. Manzanar War Relocation Center was one of ten camps where the US government incarcerated Japanese immigrants ineligible for citizenship and Japanese American citizens during World War II.",Manzanar National Historic Site,P.O. Box 426,5001 Highway 395,Independence,CA,93526,(760)878-2194
Mojave,National Preserve,"Singing sand dunes, cinder cone volcanoes, a large Joshua tree forest, and carpets of spring wildflowers are all found within this 1.6-million-acre park. A visit to its canyons, mountains, and mesas will reveal long-abandoned mines, homesteads, and rock-walled military outposts. Located between Los Angeles and Las Vegas, Mojave provides serenity and solitude from major metropolitan areas.",2701 Barstow Road,,,Barstow,CA,92311,760 252-6100
Muir Woods,National Monument,"Walk among old growth coast redwoods, cooling their roots in the fresh water of Redwood Creek and lifting their crowns to reach the sun and fog. Federally protected as a National Monument since 1908, this primeval forest is both refuge and laboratory, revealing our relationship with the living landscape. What will you discover in Muir Woods?",Muir Woods National Monument,1 Muir Woods Rd,,Mill Valley,CA,94941,415 561-2850
Old Spanish,National Historic Trail,"Follow the routes of mule pack trains across the Southwest on the Old Spanish National Historic Trail between Santa Fe, New Mexico, and Los Angeles, California. New Mexican traders moved locally produced merchandise across what are now six states to exchange for mules and horses.",National Trails Office Regions 6|7|8,Old Spanish National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505 988-6098
Pinnacles,National Park,"Some 23 million years ago multiple volcanoes erupted, flowed, and slid to form what would become Pinnacles National Park. What remains is a unique landscape. Travelers journey through chaparral, oak woodlands, and canyon bottoms. Hikers enter rare talus caves and emerge to towering rock spires teeming with life: prairie and peregrine falcons, golden eagles, and the inspiring California condor.",5000 East Entrance Road,,,Paicines,CA,95043,831 389-4486
Point Reyes,National Seashore,"From its thunderous ocean breakers crashing against rocky headlands and expansive sand beaches to its open grasslands, brushy hillsides, and forested ridges, Point Reyes offers visitors over 1500 species of plants and animals to discover. Home to several cultures over thousands of years, the Seashore preserves a tapestry of stories and interactions of people. Point Reyes awaits your exploration.",1 Bear Valley Road,,,Point Reyes Station,CA,94956,415-464-5100
Pony Express,National Historic Trail,It is hard to believe that young men once rode horses to carry mail from Missouri to California in the unprecedented time of only 10 days. This relay system along the Pony Express National Historic Trail in eight states was the most direct and practical means of east-west communications before the telegraph.,National Trails Regions 6|7|8,Pony Express National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505-988-6098
Port Chicago Naval Magazine,National Memorial,"On the evening of July 17, 1944, residents in the San Francisco east bay area were jolted awake by a massive explosion that cracked windows and lit up the night sky. At Port Chicago Naval Magazine, 320 men were instantly killed when two ships being loaded with ammunition for the Pacific theater troops blew up. It was WWII's worst home front disaster.",4202 Alhambra Ave,,,Martinez,CA,94553,925 228-8860
Presidio of San Francisco,,"For 218 years, the Presidio served as an army post for three nations. World and local events, from military campaigns to World Fairs and earthquakes, left their mark. Come enjoy the history and the natural beauty of the Presidio. Explore centuries of architecture. Reflect in a national cemetery. Walk along an historic airfield, through forests or to beaches, and admire spectacular vistas.","Fort Mason, Bldg. 201",,,San Francisco,CA,94123,415 561-4323
Redwood,National and State Parks,"Most people know Redwood as home to the tallest trees on Earth. But the Parks also protect vast prairies, oak woodlands, wild rivers, and 40 miles of rugged coastline. People have lived in this verdant landscape since time immemorial. Together, the National Park Service and California State Parks are managing and restoring these lands for the inspiration, enjoyment, and education of all.",1111 Second Street,,,Crescent City,CA,95531,707 464-6101
Rosie the Riveter WWII Home Front,National Historical Park,"Explore and honor the efforts and sacrifices of American civilians on the World War II home front.  Find out how they lived, worked and got along. Many faces, many stories, many truths weave a complex tapestry of myths and realities from this time of opportunity and loss.","1414 Harbour Way South, Suite 3000",,,Richmond,CA,94804,510 232-5050
San Francisco Maritime,National Historical Park,"Located in the Fisherman's Wharf neighborhood, San Francisco Maritime National Historical Park offers visitors the sights, sounds, smells and stories of Pacific Coast maritime history. The Park includes a magnificent fleet of historic ships, a Visitor Center, Maritime Museum, Maritime Research Center, and Aquatic Park Historic District.","2 Marina Boulevard,","Building E, 2nd Floor",,San Francisco,CA,94123,415 561-7000
Santa Monica Mountains,National Recreation Area,"The Santa Monica Mountains offer easy access to surprisingly wild places. Experience the famous beaches of Malibu or explore more than 500 miles of trails. The park abounds with historical and cultural sites, from old movie ranches to Native American centers. What will you and your family discover?",26876 Mulholland Highway,,,Calabasas,CA,91302,805 370-2301
Sequoia & Kings Canyon,National Parks,"Huge mountains, rugged foothills, deep canyons, vast caverns, and the world’s largest trees exemplify the diversity of landscapes, life, and beauty here. Explore these pages to learn about the plants and animals here and the threats they face. Our ancient giant sequoias may seem invincible, but they, too are vulnerable.",47050 Generals Highway,,,Three Rivers,CA,93271,559 565-3341
Tule Lake,National Monument,"The Tule Lake National Monument includes both the the Tule Lake Segregation Center, the largest and most controversial of the sites where Japanese Americans were incarcerated during World War II, and Camp Tulelake, which was first a Civilian Conservation Corps camp, then an additional facility to detain Japanese Americans, and finally a prisoner of war camp.",P.O. Box 1240,,,Tulelake,CA,96134,530 260-0537
Whiskeytown,National Recreation Area,"Whiskeytown Lake’s crystal-clear water is perhaps the most recognized feature of the park. However, water-based recreation is only a part of what the 42,000-acre Whiskeytown National Recreation Area has to offer. Visit waterfalls, hike through rugged mountains, explore California Gold Rush history, and observe post-fire ecology in action. Your national park is calling...",P.O. Box 188,,,Whiskeytown,CA,96095,530 242-3400
Yosemite,National Park,"Not just a great valley, but a shrine to human foresight, the strength of granite, the power of glaciers, the persistence of life, and the tranquility of the High Sierra.
First protected in 1864, Yosemite National Park is best known for its waterfalls, but within its nearly 1,200 square miles, you can find deep valleys, grand meadows, ancient giant sequoias, a vast wilderness area, and much more.",,,,,,,209/372-0200
